State/UT,Confirmed,Recovered,Deaths,report_date
309,Telengana,32,1,0,2020-03-23
310,Chandigarh,6,0,0,2020-03-23
311,Jammu and Kashmir,4,0,0,2020-03-23
312,Ladakh,13,0,0,2020-03-23
313,Uttar Pradesh,31,9,0,2020-03-23
314,Uttarakhand,3,0,0,2020-03-23
315,West Bengal,7,0,0,2020-03-23
316,Andhra Pradesh,8,0,0,2020-03-24
317,Bihar,3,0,1,2020-03-24
318,Chhattisgarh,1,0,0,2020-03-24
319,Delhi,30,6,1,2020-03-24
320,Gujarat,33,0,1,2020-03-24
321,Haryana,28,11,0,2020-03-24
322,Himachal Pradesh,3,0,1,2020-03-24
323,Karnataka,37,3,1,2020-03-24
324,Kerala,95,4,0,2020-03-24
325,Madhya Pradesh,7,0,0,2020-03-24
326,Maharashtra,89,0,2,2020-03-24
327,Manipur,1,0,0,2020-03-24
328,Odisha,2,0,0,2020-03-24
329,Puducherry,1,0,0,2020-03-24
330,Punjab,29,0,1,2020-03-24
331,Rajasthan,32,3,0,2020-03-24
332,Tamil Nadu,15,1,0,2020-03-24
333,Telengana,35,1,0,2020-03-24
334,Chandigarh,7,0,0,2020-03-24
335,Jammu and Kashmir,4,0,0,2020-03-24
336,Ladakh,13,0,0,2020-03-24
337,Uttar Pradesh,33,11,0,2020-03-24
338,Uttarakhand,4,0,0,2020-03-24
339,West Bengal,9,0,1,2020-03-24
340,Andhra Pradesh,9,1,0,2020-03-25
341,Bihar,4,0,1,2020-03-25
342,Chhattisgarh,1,0,0,2020-03-25
343,Delhi,31,6,1,2020-03-25
344,Gujarat,38,0,1,2020-03-25
345,Haryana,28,11,0,2020-03-25
346,Himachal Pradesh,3,0,1,2020-03-25
347,Karnataka,41,3,1,2020-03-25
348,Kerala,109,4,0,2020-03-25
349,Madhya Pradesh,14,0,0,2020-03-25
350,Maharashtra,128,1,3,2020-03-25
351,Manipur,1,0,0,2020-03-25
352,Mizoram,1,0,0,2020-03-25
353,Odisha,2,0,0,2020-03-25
354,Puducherry,1,0,0,2020-03-25
355,Punjab,29,0,1,2020-03-25
356,Rajasthan,36,3,0,2020-03-25
357,Tamil Nadu,18,1,0,2020-03-25
358,Telengana,35,1,0,2020-03-25
